,CleanedText,Type,Rating
19,im really wondering if they could be any worse im warning you do not purchase any device with finance from them one month before the termination of my contract they contacted me to ask weather i want to extend my contract or not i said that im not willing to extend it and i would also like to switch providers they provided me with a pac number valid for days but due to lack of time i didnt switch providers they kept charging me on the next month so i called them to ask for an explanation they said that as long as someone says he wants to switch provider but he finally doesnt we have to keep running the contract i told them ok fine but i said that i want to cancel the contract and as long as you provide a pay as you go sim after the termination of the contract why didnt you just put me as a pay as you go sim they say they dont work this way as many clients after the termination of their contract wish to proceed with a sim plan i said that i do agree with that but youre not only charging the sim but the actual device too which normally is illegal considering the fact that i have already paid my device they say to me thats this is not illegal and thats how it works and that this is stated on their terms and conditions i got really pissed honestly there is nothing left to do for it but i really wanted to say that these guys still your money legally as soon as the rest of my contracts end with them i not going to use them never ever ever again,Bad,1.0
20,was offered to upgrade my broadband at a discounted price even though i was reluctant as the company are awful i really could do with faster internet we have one of the faster internets and it still seems to be awfully slow so i put my details into the website and signed up for the upgrade went to check on my order yesterday to see when my new box would arrive to see it said cancelled got in touch with vodafone after being passed around and being told by the team it has been cancelled due to a technical issue i got put through to some one else who would sort it when i got through i gave my details again and i was told i wouldnt be allowed it at discount price even though i was still on their deadline of cut off on the email once again vodafone have made promises they do not keep waste of money and time and their service is appalling,Bad,1.0
21,really unhappy following the installation of my router no notice given despite being advised that i would get a call minutes before guy disappeared after installation despite telling me he would be in tidy up and take photos router was installed under my bed and is so hot to touch that i turned it off,Bad,1.0
22,i do have a contract phone and no problems with that but i have just tryed to top up a payg phone for a friend with a voucher and they wont let you top up unless you speak to the sales team who are hard faced bordering on aggresive wanting you to change to a contract they say its due to the pandemic they put you through to them at the end of the conversation she said well if you dont want to take my advice what is your voucher number in a snappy tone omg ee sort your staff out before you lose customers if this was my phone i would have left customer service today was beyond zero,Bad,1.0
23,worst phone company ever numerous issues with my broadband that have never been resolved just fob you off saying that the fix will take a few days to work eventually you loose the will to live which i think is what they hope will happen right now my year old mother has no working landline with no timeline on when i can expect this to fixed really bad customer service cant wait for my contract to end so i can get as far away from vodafone as possible,Bad,1.0
24,there should be a star for incompetent engineers that work for this ridiculously rubbish company i had the engineer come to my house and connect my broadband service on the th april he arrived and said it will take minutes and plugged all his bits into the wall then left leaving everything plugged in and didnt come back for minutes he then connected the broadband and left this is when my partner noticed he had taken of our dsl cables that is theft make sure you keep an eye on the engineers in your house in case they decide to take something else maybe your kettle so he have another coffee that cable was my property i had bought that because the original cable that came with the router was not long enough thats theft once he left the broadband was working for about hours then stopped working completly i phoned the broadband supplier and they said it was a problem with the line and it will be fixed by the th which is today this morning i recieved a email saying the line is repaired but when i tried to connect the broadband it is still not working i have phoned the supplier and they have had to book another appointment which is on the th so he can come in and fix something else or maybe have another cup of coffee or maybe steal something else from my house maybe if i see some cables he is using for his equipment maybe i might decide to take something from him that he needs seeing its ok to take my cables see how he likes pathetic company using engineers that clearly dont know what there doing better of paying a bit more and go with sky or anyone else for that matter when the engineer comes on friday i will stand over him and watch him to make sure he doesnt steal anything else from my house bandits should be for the service you provide really is no words i can put on this site that explains what i think of them avoid avoid avoid,Bad,1.0
25,the most appalling customer service i have ever had i decided to upgrade my phone and trade in my old one they failed after attempts to send me out a returns bag for my trade in during the first month my account was suspended due to an error on the part of ee which then took me over an hour to clear up i was told that if i didnt return the phone that a charge would be added to my next bill i decided that as they had failed to send me the returns bag that i would keep the phone as a spare next two weeks before my bill was due they again suspended my account when i again tried to resolve this for hours minutes in conversation i was told that i had an outstanding amount i explained that the amount wasnt showing on my bill so how was i expected to pay it the response from customer complaints was abrupt arrogant and completely unhelpful i was told that the amount was pending and they couldnt do anything about it when i questioned how on earth am i supposed to pay a bill that didnt exist i was just off told the suspension still stood and they could not help instead of being helpful i was just told to approach the ombudsman absolutely disgraceful,Bad,1.0
26,best broadband worst customer service lets try to leave you thinking about leaving us press number thats what i heard before choosing this option nice person picked up the phone and ask plenty of questions fine after i said i would like to give my days notice nice person asked few more questions and told he needs to redirect me to special team dealing with that why im speaking to you then i thought why the hell number didnt take me directly to that later after listening lousy music while having my dinner i get connected to special team and started answering same questions again what a bloody joke is that,Bad,1.0
27,worst mobile provider customer service terrible been with them for over years but when i wanted to move provider they were a nightmare said they couldnt unlock my phone as it wasnt from even though it was a contract phone of then said they could if i credited my account with pound then said they couldnt do it and wouldnt refund my money will never use again and i am making sure all my family sack them aswell,Bad,1.0
28,awful customer service quick to take your money and sign you up for a contract but unable to keep their end of the bargain broadband performance is really poor so i was advised i needed to upgrade from m to m with the promise of a hub upgrade no new hub was delivered just a power cable which has made no difference to the performance yet more time wasted on hold with some who doesnt know arthur from martha,Bad,1.0
29,tried to close my account over two months you can never get through if you are buying a product they answer within a couple of rings im still trying to close the account my husband rang to cancel the agreement and they wouldnt speak to him because i couldnt remember the password in which i had set up the account several years ago with they are quite happy taking the money out of his bank account though the guy on the phone said he would send some literature by post to remind me of the password three days later a bill came through the one that i get by email anyway no mention of any password and they had added a fee of p for the bill so i ring again and wait goodness knows how long for them to answer when they did im asked for my password which i dont know so just go with what i think it could be it was half right and the girl proceeded with the call i explained that we havent had their service for over a month and a half she wondered why we hadnt rung up to cancel which they must of known because each time i went into my online virgin account it said there was no signal to this address and they had it down as a fault i purposefully left the direct debit open for them to take a final payment as we couldnt get through to them several times i had to literally beg this person to close the account she said she would but then added another days fee to the bill because we hadnt cancelled earlier i dont know how many times i had told her we tried but they never answer watch this ever again thanks for nothing mr branson,Bad,1.0
30,very bad service today im getting mbps instead of minimum mbps avoid avoid try to contact them many times all you get back is their standard emails no action at all,Bad,1.0
31,it was been months that my internet is being throttled by weeks i noticed that my internet was sometimes not working or super slow at times during this period i measured that the average internet speed was mbs which is incredibly lower than what i pay for mbs i have been trying to reach bt to understand why is going on sometimes waiting minutes on the phone to speak to someone to get this done i am extremely with their service since i could get a better deal and service with another ips,Bad,1.0
32,hi hanna this is not what we like to hear i am sorry about the experience you have you would like to discuss this further you can visit our help page here as this will direct you on how to contact us so we can look into this for talktalk social team,Bad,1.0
33,you should never get virgin media the wifi is soo bad that it cant even reach even when am right next to it am telling virgin media needs to do better its absolutely not worth the money that you pay for i would prefer talk talk over virgin media,Bad,1.0
34,intermittent issues with broadband has made my plans for working from home this week impossible,Bad,1.0
35,hi for the issues youre facing with the landline the team would be asking you to provide a mobile contact number so that they can reach out to you whilst they perform some tests and try and fix the issues for you require any further assistance and support please head on over to our help support page and the team can take it from talktalk social team,Bad,1.0
36,my dear people please dont sign the contract with them i would say they are cheating on of all i had a good fast fibre but it dint im working from home so i need to have a good connection im sitting next to the hub and cant be on a meeting which im leading as there is constantly no had called them so many times answer reboot your hub yes but hello its not working a month before my end of contract i called them to give notice that im leaving they we cant accept it as you will be charged cancellation fee you must to call at the day when your contract is ending today finally is that day and you know what i called them times first two they been going around with their offers and not willing to end my contract the third time the lady said yes ok but you need to give us days of notice so you need to pay your last bill of when i asked for what if my contract is over your colleague said there not going to be any extra charges as i called already a dat ago to give that bloody notice the lady said is a disconnection fee what when i asked to talk with the manager they declined to do now great i need to pay an extra month for useless service believe me is not worthy of the money as its causing so much stress thanks for reading,Bad,1.0
37,unfortunately i am locked in with vodafone for the next months or so but after this point i will and never return again a loyal customer of years and this has to be one of the most frustrating companies in the st century they pretend to offer you trade in discounts for your contract and after receiving your old device which you could just sell for a few hundred quid they forgot to apply your discount still charge you full price and then come up with endless excuses that you will be in a few months everything about vodafone is a pain paying your bill logging into your online account nothing is simple and the fact is they are always trying to rip you off financially please stay away from this company,Bad,1.0
38,i joined ee hoping i would not have a problem with then i got myself on a roll paying my contract every month but the phone s ultra i couldnt make a call or use broadband i couldnt take the phone out with me because every time i did i could get through to anyone phoned up about this many many times i was just off and went round in circles so i wasnt paying for something i couldnt use there the worst company i have ever been they will reel you in and then thats it just a warning to everyone ee is not what they make out,Bad,1.0
39,i have been with vodafone since i have mobile contracts and recently added more broadband contracts and landlines one of which is for my elderly parents who depend on the landline phone and broadband both my broadband have gone down more than times since i signed up with them each one taking more than days until they got it up again and this is after chasing them up daily finally they fixed them and credited my account with since then one of them has gone down again they have also failed to reinstate the same landline number for my parents as agreed its been more than a month and still waiting for them to reinstate the same number after this i got a call on the nd of may from them telling me im a high value customer and they have some great offers for me they offered me an early upgrade with a much better deal than what i had so i took it and added an ipad contract too me thinking im receiving new phones and an ipad i gave away my phones and ipad i had to family and next day i got the phones and ipad but then realised they one charged me almost which wasnt mentioned in the call and secondly it wasnt an upgrade they added more mobile contracts to the existing contracts i already had so i returned them to my local vodafone store but now im left with no phones and no ipad i demanded that they listen to the call and was told an investigation will be opened and scheduled me for a call on sunday the th may for the outcome of course no one called on the th so again i had to chase it after a day of going back and forth with them they finally admitted that they didnt actually start the investigation but someone from customer relations will call me to give me a i got the call after they apologised all they could do is offer to credit my account with they refuse to fulfil the offer they offered me as my date is in november and refused to cancel my existing contracts even though they admitted to the wrong doing and as a result iv lost both my samsung s and an ipad i bought in they breached theyre contract with me and i can not do anything about it well done vodafone,Bad,1.0
40,very helpful and answered all my questions,Bad,1.0
41,they raise the price two time and im on the middle of the contract,Bad,1.0
42,totally horrible experience ordered with bundle i contacted them numerous times by phone email and live chat and they could not activate the sim and had no follow up to check i had to keep contacting them until i gave up and bought one from someone else,Bad,1.0
43,the worst company i have ever experienced ive been without internet and despite numerous live chats and calls no one is able to tell me what the problem is and when it will be fixed ill be looking for a new broadband supplier as soon as my contract is up avoid this company like the plague ive been recommend to contact them over social media however ive spent over six hours over phone and live chat and they are still not able to confirm when the problem will be resolved its impossible to speak directly to anyone who can actually help,Bad,1.0
44,had nothing but good things to say until moving from my consumer tariff to a business based tariff now i wish i have not bothered i feel cheated by both my o store and their customer service as it seems that my middle of the road which i have joined and designed to save me money will in actual fact increase my outgoings and give me less for it o customer services have no clue and i have spent in excess of hrs on the phone to dept to sort out my issues however every time i am calling i am told it will cost me more money and that i need to buy another bolt on o are clearly taking the mickey out of its base if anyone is in my and wants the iphone i would them to join another network i really wish i had done,Bad,1.0
45,absolutely appalling customer service never experienced such bad service in my entire life had constant trouble throughout my contract and once i was able to cancel they took my notice and did nothing i was promised my cancellation was being sorted and then months letter i receive a letter from a debt collection agency i got passed around from one department to the next and once it was eventually sorted i was told i couldnt have any of this evidence to me in writing as they dont send letters or emails the complaints department said the best they could is send a text which i still havent received not one apology from complaints or an explanation to why this has happened disgusted,Bad,1.0
46,terrible i would give if possible absolutely hate it and you will not allow us to come out of it counting days when i can go back to sky worst decision ever to go with virgin media hope that is clear,Bad,1.0
47,your ability to communicate when you want something is excellent when we want to contact you it is nigh on impossible hence the very low rating,Bad,1.0
48,the online chat is clearly a joke they are obviously trying to hold a conversation with a number of people at the same time so use stalling tactics when you do get through they are useless and tell you to phone up no wonder they have the highest number of customer complaints ref bbc watchdog oct,Bad,1.0
49,i was trying to cancel my membership and the first time they said the system was not working and the second time they simply hung up on me,Bad,1.0
50,absolutely disgusting service our broadband has never worked since we have had it fitted four months ago we have had two engineers out and still they havent bothered to ring me back to tell me what they are prepared to do to fix the problem the bt engineer said its a problem with the router after the talk talk engineer had already told me the problem was outside so clearly he just couldnt be bothered to even bother checking and passed it on to bt its now a week on from both of the engineers visit and the problem has still not been fixed i would not recommend to anyone even the no fixed prices advertisement is a complete and utter lie as ive only paid that original price once dont bother as you will end up paying for something that never works,Bad,1.0
51,not sure but money expert agent told me false info then expert failed to me correct info had to cancel order and get talk talk to start did get an extra p off then talk talk sent me an email to set up password only to find you cant do this until you go live yet the did not say anything about that in the e mail how is that things will only get worse from here i think,Bad,1.0
52,i have been waiting over a month to have a line laid during the initial conversation i asked for the to have the right equipment to complete the job to a first floor flat knowing how utterly these are utterly appalled when the barely functioning human being showed up with nothing just to tell us we have to wait more weeks for an update this company is horrendous if by the off lucky chance you have an option to not use them i would definitely keep well clear,Bad,1.0
53,was sent letter saying needed to up grade system fitted new modem and router router needed app to work didnt have smart phone so router wouldnt work was sent another router this didnt work was told possible modem fault had new one fitted still didnt work was sent another router got it all set up when modem fell of wall pulling out fibre wire reported it had no reply for days so had enough of being passed for to talk talk saying it was each others fault so i had no internet from may june cancelled account gone with another company had internet up and running in hours,Bad,1.0
54,the worst service i have ever experienced for sims and broadband so many mistakes have been made resulting in me having to spend a huge amount of time on the phone to them and going into store to fix their issues even if prices are competitive it is not worth the hassle and waste of your time,Bad,1.0
55,do not trust this company i have been forced to use this company by taking extra from my account and saying my contract finished and this my new price with out information send and when i asked can i close my account they said i have to pay another because the cancellation took days to complete,Bad,1.0
56,one star as i cant give less months into a broadband contract and the service has stopped reported immediately and they say an engineer is on their way days later same story chased them every day no progress no news no internet counting the months until we can move away from talktalk,Bad,1.0
57,im not satisfied with talk talk at all ive been to many companies but ive never come across one like this you have a problem you call you talk and in the end nothing no one helps you you dont have internet and yet they wait for me to pay every month i didnt have internet for days i called and wrote every day and nothing you talk for hours and thats it they dont send anyone to solve the problem attention i do not recommend this company,Bad,1.0
58,i thought they had improved as a company what a load of crap their tv is not user friendly and very hard to use plus you cant get to talk to anyone i cancel direct debit disconnected everything go back to preview and ordered myself a stay away at all cost,Bad,1.0
59,i thought they had improved as a company what a load of crap their tv is not user friendly and very hard to use plus you cant get to talk to anyone i cancel direct debit disconnected everything go back to preview and ordered myself a stay away at all cost,Bad,1.0
60,awful phone lines with a muffled sound you can barely hear what the agents are saying plus their accent is so strong that it becomes a huge obstacle to the communication they also made loads of mistakes in setting up my contract they created an o account with the wrong email address even though we had spent a lot of time over the phone checking its correct spelling the sim swap did not work i spent a whole week trying the procedure over and over again they told me over the phone to go to an o store i went to of them where they were understaffed and told me to call the phone customer service back unbelievably frustrating o seems to be crumbling down ive already started to look for a new mobile provider,Bad,1.0
61,after paying a final bill of and hours of phone conversations for for a service i cancelled months ago i have been sent yet another email claiming i owe another this is my second review of talktalk please introduce a rating for this immoral company,Bad,1.0
62,liars cheats been in hospital having inguinal hernia operation been recovery at home unable to move for past weeks and yet still had to deal with lies from talk talk rang them for the th time today also im so sick of english as a nd language in call centres im fed up of things as if too a locked me into month contract after lying to me and saying it was month to month amd now expect me to pay to leave its my nd month talktalk has taken double the payments twice a month from the same account suppose to be i a month they lied th th talktalk took payments th th march talktalk took of twice on th th today rang them there system are down ffs useless wasters so talk talk company is paying staff to sit and answer phones who cannot system does the same for free talktalk morons i have been lied into advantage of while on am classified as a vulnerable disabled person and still they treat you like this thanks to talk talk lack of professionalism and the double payments they have taken payment to my credit cards were not paid and now have charges on thanks to talk talk im out another in late fees lieing rip off,Bad,1.0
63,awful nothing more disappointed,Bad,1.0
64,years of service down the drain for less than a been with for over years until now had no problems i have two simm only contracts one of them i purchased for my year old father so he can always keep in touch i was told by in the shop that if anything happens to my father i could cancel the contract now my father is in a care home and can no longer operate the phone or even remembers how to use it refuse to end my contract on this one simm contract alone therefore i was lied to in the shop in huddersfield or they need to be retrained the contact is less than a month inc vat and has months remaining out of well done i will be cancelling both contracts in dec and will talk to my sons and wife who also have contracts to end them asap and try another provider years of service ive never missed a bill and your willing to throw all that away for less than a month as a oap with disabilities can no longer use a phone,Bad,1.0
65,when its works great but not consistent enough more annoying now bought myself an expensive smart tv and it cuts out when the wifi signal drops reset the router but doesnt seem to make much difference,Bad,1.0
66,you have not addressed my complaint i asked the last person that contacted me by phone that you should write a letter and you tell me what you are prepared to do to close my complaint however nothing has to close my complaint as satisfactory i want you to upgrade my speed to the next level for the duration of contract at no additional cost,Bad,1.0
67,vodafone send my girlfriend a bundle pack for and said it contained gb data unlimited texts and unlimited minutes she then had to sit on the phone all morning the next day as she didnt get any data and all they could say was she was in the wrong even tho they didnt give her the gb of data such a bullcrap service dont recommend even for someone u hate,Bad,1.0
68,well basically got ripped off to the tune of after setting up a contract for a child his mum did they agreed to put child locks on the account this happened in store so the account would be safe oh only until the first bill comes along and they want off his mum obviously we complain and they say the protection doesnt cover third party apps even thought their website says it does so thats like most of the things kids will spend on right so they refused to pay a penny back and were down this is the first month of the contract just be careful we were promised one thing in store and the reality was quite different and they couldnt really care less unless you have to use them id avoid them,Bad,1.0
69,i could write an essay here but i will try internet with from calls promised calls at specific times not delivered mentions of an engineer in a weeks consistant hold music loop of songs when the average hold time is more than this length call to security finally have an engineer booked for the next day very stressful around work i havnt been this frustrated in a while first month of being with them i lost internet and with the online app not being very user friendly takes a while to get past security after being cut off after app chat and having to wait due to their systems being down i then rang up the next morning and after and doing the same diagnostics again i was advised i need an engineer which would take week given i work from home i expressed my desire to have a soon a visit was promised a callback in a few hours after referral no call weekend passes and i try again try again and told a further week for engineer i hold for a manager but mins wait and told they will call me back certain time no that night and on hold for over an hour passing their close time but nothing tells you they have shut so i could have been there so night call next day same long winded process then advised o need to be at home so they can do diagnostics but im at work so arrange a callback between am next day surprise surprise am comes im late for work and no again on way to work and finally get out through to tech support but i have a job to get on with so they will call me at pmso i wait an hour no call pm im in a meeting and then there is a missed call i ring back after with he wait times i actually get an automated callback service get the call back in though it puts you in a que then finally i have a call where we go through extra diagnostics even live video who knew they had this technology hr later i have an engineer booked for tomorrow lets hope this gets resolved and i get a week refunded or i will be cancelling,Bad,1.0
70,absolutely horrendous service been waiting since april for full fibre broadband to be sorted been rescheduled now times every time i call them its the same story theres still work to be done and as for the constant text messages the only time i ever hear from them is to reschedule no apology no email to explain the delay sick and tired of it,Bad,1.0
71,we have had ongoing issues with virgin media but today was the height of all called a virgin media technician to increase our broadband speed he came at pm and spent time doing whatever it was he needed to do my mum was dealing with him so i am unaware of exactly what he did after spending a few hours he said that he will have to come back the next day at pm to check the internet speed but the internet has been turned on and it should start within the next minutes but as it was late and he still had another jobs to go he wanted to leave half an hour later no internet we called virgin media and the lady on the phone said there was nothing she could do not even get a technician in the morning instead of afternoon our home security and heating is connected to the internet we explained that we had arrangements to go out in the evening and that the next morning my father was due to work from home and we needed the internet to ensure the home security system was working and that my dad could work from home after a bit of discussion with the lady from virgin media she said that she could provide us we pay per month to virgin media for a constant service of good we returned from our arrangement in the evening at pm on a cold winter night my father did some investigation and realised that he broke a cable that was working perfectly fine and left to me that screams we asked the lady at virgin media to give us the name of the technician she didnt know we asked her to send someone out at am the next day she couldnt do it we asked her for the reference number to the call that we were making she didnt have that she was basically wasting our time if she didnt have a solution she should have said that she was taking our money and not providing this is not the first time that virgin media have used their empty brain to ruin our day we were supposed to go on holiday and my mother and i tried to check in for the flights only to find out that we had yep you guessed internet we were not warned about this before hand and had to make our way to the local library waste our time and money and sort our things out many times we have had issues where i have been on an important work meeting and they have turned off the local wifi doing improvements in your area dear virgin media please improve your customer service before improving internet service contacting them is also a nightmare the virgin media account is under my fathers name and if h is not home we cant even get anyone on the phone to make a complaint or fix the issue i have currently been trying to make a complaint through our account but for the last mins it have been on a webpage that simply says logging ini dont want to keep wasting my mobile data when we pay for wifi at home but the compensation doesnt really cover that now does it in the house we have over electronic devices that require wifi and in this day and age internet is a necessity i am simply disappointed because albeit mistakes were made everyone is human and i understand even i make mistakes its all about how you fix the mistake virgin media have done nothing to fix their mistakes yet they charge us for a service that they are not providing,Bad,1.0
72,unclear about refund policy beware they try to charge you for returns within days without telling u in the t and cs,Bad,1.0
73,worst network ever bundle is a joke bad service everywhere with data being sooo slow i topped up yesterday for it and took my money but didnt give me the bundle complete thieves,Bad,1.0
74,leaving ee as soon as my contract poor poor customer of time talking to just try to fob you company and will never go back to well have been warned,Bad,1.0
75,spent hour minutes no solution never use talktalk again no stable connection they sent technical person he said router fault but nothing changed or resolved the connection drops go with other providers never use talktalk,Bad,1.0
76,i spent two and a half hours on multiple online forms and numerous calls to customer service to simply port my vodafone pay as you go number to a new vodafone monthly contract advice was impossible to understand,Bad,1.0
77,customer service at o is the worse people ive had the misfortune to come across lie after lie and all i wanted to do was cancel a order hours then to be told order stuck in system and then i have to wait another hour and only got told that after phone calls and online chat times,Bad,1.0
78,i have been with o for many years even on payg before i contracted over i was without service for days and asked for an early upgrade as a as i have nearly paid of my year contract but have been refused and told i can trade in the phone i have just spent paying for or without upgrading offered very disappointing as have always received good customer service from them but i guess this maybe because ive never really had any issues to deal with or have never sort compensation when services where down,Bad,1.0
