,CleanedText,Type
11,less than one star had a crackle on my telephone line now for nearly a year husband hard of hearing so makes speaking to his mother in america almost impossible friday before christmas reported fault again then came out on the monday and crossed our line with our good neighbours told bt but couldnt seem to communicate to they couldnt understand that the fault had changed told us were working on the problem and that it was a wider area issue the monday after christmas having had no internet and no phone but our neighbours calls phoning here an engineer turned up and the line and we had connection back but over the christmas period even a precision engineer could not work out that the main problem was a crossed line so angry being offered pittance for compensation for the incompetence an insult never again bt,Bad
12,due to the ever service offered up by this truly company allied to the news that they are merging with bunch of total i cancelled my contract and moved to three the latter half the price and to date totally professional in the after leaving ee discovered my phone was too a long a story to to say ee having been and still are fluffing about with apple attempting to get it unlocked ee are simply all wind and pss and constantly lie to either your face or over the phone making false progress promises in short id advise boycotting this truly useless company asap unless you want total grief,Bad
13,ridiculous price for data abroad for mb not this company,Bad
14,broadband service stopped intermittently for over a month unable to fix it despite hours messaging them no compensation offered as fault not continuous customer service via chatbot or messaging beyond useless unable to speak to real person at any time the only saving grace was they didnt try to persuade me to stay when i cancelled strongly recommend avoid broadband,Bad
15,this was the worst experience ive had ever so bad i gave failed attempts to get broadband and hours on hold id had enough and went with another yourself the time and stress its just not worth provider ever,Bad
16,shocking customer service no one seems to know what they are doing when you phone up i set up a direct debit when i took out my phone contract but still had to pay over the phone if it wasnt for my daughter sorting it out for mei would still be paying over the phone even thou i had set up a direct debit and as for the broadband its pretty shocking for going down,Bad
17,appalling customer service cant speak to anyone to complain poor all round,Bad
18,i transfered to them and brought my number in the first week they still hadnt transferred my number after trying to contact them eventually i was asked to talk to the network i was switching to face palm after explaining again i had just joint the fact they asked to verify my details says everything about the quality of customer service advisors after escalating i eventually had someone try to report number now weeks later i still have no incoming connection no one can call me or sms me but i can call outbound ive been asked to reset my phone several times change sim cards twice replaced handset once its clear they dont know what they are doing o has gone downhill still no response each time i speak to a support agent they treat it like a new request this is quite honestly the worst experience of customer service i have ever had phone now going back and contract will be cancelled what a joke company three weeks and no incoming calls or texts,Bad
19,over months now of problems a complete joke had every error code pop up had engineer visits software update popped up yesterday n now no tv at all till sat phoned up endless times sent emails asking them to ring me with a solution still waiting dont give a damn another engineer now on sat to hav a go he said network probs last time but didnt report it tell me how it still works upstairs then complete joke,Bad
20,if i could give it a zero star i would absolutely rubbish theres no customer service at all they reckon they value their customers they certainly dont i would not recommend at all worst company going ill be changing providers for sure,Bad
21,start the web chat at finish the web chat as slow is not the word for the service i received talktalk agent blamed the time it was taking on the systems being slow while my internet speed has been fine the customer service is shocking i can not in all honesty ever recommend talktalk for this reason my advice avoid at all costs,Bad
22,bt called me and offered me bt plus i said i did not need it but they said that they would double my data on my phones and convinced me to add two more sims to my family plan in all long story short my phones have not worked for a week and they cant rectify it nor will a manager speak to me so i had to get other sims and i canceled my broadband they are now telling me that i agreed to bt plus and am now in a new contract,Bad
23,just what we like to hear thanks for the review talktalk,Bad
24,absolutely shocking service and experience got a broadband and tv package in november tv never worked and they installed the phone line on the other side of the room to my television so i couldnt get internet channels then sent an engineer round to fix the problem he spent hours on it and couldnt fix it i then decided to cancel the tv package as i was paying for something that couldnt be sending back all the equipment in november im still awaiting a refund and i have spent hours on the phone to customer service i have also now found out i have been charged for the engineer to come out and fix the tv issue which was never top of all this the broadband is awful cuts out frequently and is again,Bad
25,i was persuaded to change from my provider to talktalk by a deal on the price once i had signed up i found that the internet was unavailable more often than not useless for the childrens homework then i had to pay to get out of the contract to go another company to get a good service i wish i had not listened to talktalk and i will not be listening to them again,Bad
26,was told fibre would be up and running within days fab as its so bad the broadband connection got an email stating days later being duped by false information isnt nice makes you feel youre a mug i even said wow thats great and the advisor agreed not good practice,Bad
27,i had my prices raised with no notification and the first talk talk colleague i spoke with was a bit argumentative and not particularly helpful seemed more interested in debating facts with me than actually resolving my issue when i spoke to his manager he was very helpful and although the outcome means i am ending my contract with the company i have not been financially impacted any further so the managers service was good,Bad
28,bt wifi are scams and only want to take your money they sneak upon you and give a contract that you yourself had no idea about charged me so are scams do them,Bad
29,vodafone is the worst service ever avoided at all cost there collection team is crap i moved house and they charged me alot of money my bill every month is high tryed to sort out a payment plan at a fortnight got told that was ok but an adviser called mike said a fortnight is not ok he wanted a month please avoided vodafone,Bad
30,disgraceful customer service which ended up costing me a fortune and having my broadband disconnected one week before new supplier took it is absolutely no point in contacting bt customer service as they have no idea what is happening with your account and do not do what they say they will do a complete waste of three months after leaving i have recieved another email demanding more money with threats to add further charges if i dont how many billions of tax payers pounds bt received from the uk government the way the company treats those tax paying customers is nothing short of mchugh,Bad
31,poor service all the way through needed to finish contract a few months early and got billed almost for doing so will never use again,Bad
32,painful customer service experience i would recommend avoiding their internet service if possible,Bad
33,no every level is an appalling has been covered by previous was told by a temporary manager there had been redundancies should be made redundant end of contract in may it cant arrive soon service and attitude,Bad
34,of course a herd of incompetent people call or not it does not change much,Bad
35,my emails started being blocked as spam i rang zen to ask for help but they told me they used barracuda and that barracuda told them spam was being sent from my ip i do not send spam the customer service person i talked to tried to be helpful but did eventually leave me to sort it out myself he did not seem to know that individual zen customers like me dont have static ips after speaking to someone else who did know what they were talking about i unplugged my router plugged it in again and got a different unblocked ip from bt i told bt about the dirty ips they had given me but the didnt seem to care either i felt let down by zen they didnt seem to have the expertise or the desire to chase down my problem,Bad
36,on the phone now for to vodafone hr mins and no answer really poor signal less than mps vodafone promises compensation if signal is poor but you cannot get through to them am going to cancel my account,Bad
37,cant say as ive not been on it yet its been over days with no service and missed appointment and my next appointment from june is now the end of august so still on free view tv,Bad
38,apart from high charges you cant do any self service on your to chat or call and always have to chat to several spent hours wasting my trying to leave a year early and being told ill have to call them,Bad
39,the worst telephone customer service team i have ever had to deal with argumentative unhelpful they just blindly read from a script if your problem doesnt fit they just hang up live chat isnt much better very passive aggressive after being on for over an hour to which problem still wasnt solved worst provider ever avoid,Bad
40,supposed manager has no authority blindly follows process and script doesnt adapt to the customers needs after hours of frustration attempting to deal with it doesnt understand or interpret the situation the poorest offer of goodwill and resolution i have l ever known in over twenty years of business and personal experience if i could give negative stars i would do not use this company,Bad
41,spend days over hours in total on phone and still cant cancel my service they just keep transfering me until working hours ends,Bad
42,since i have been with o have had nothing but hassle never have signal my brand new iphone also came faulty and they refused to fix it even though in warranty just moved to ee and they have been great definitely the best network o,Bad
43,false claims on broadband speed customer service unwilling to fix the issue even though said they should had to ring times to get a return package sent out and the money they owe me has still not appeared and now they want and threatened to cut me off which is laughable i cancelled a month ago and sent the router back avoid youll thank me later,Bad
44,why have i been charged for an engineer fees to install my box when no engineer came in,Bad
45,i file star unlike them filing their tax returns,Bad
46,got cut off twice on chat numerous phone calls they dont know what is going on they ask me if i need an engineer despite them telling me im a letter i do they say you will go live x date and keep changing no answer to why not connecting you need to be constantly chasing them to get answers would advice anyone to use chat service rather than phone call but overall probably the worst service ive ever experienced in my life,Bad
47,terrible customer service hidden charges they do not state when selling sales will promise the world and agree to almost everything free set up etc then you get a activation fee which they dont very valid point with these cowboys the line speed is never correct and nowhere near what they state i given up querying that mg not even getting mg at non peek timesi am unfortunately months into a months contract best advice you could take is check everything within the days and tell them to take it out if its not what is stated or better still stay clear of virgin media cheaper isnt always best as in my case,Bad
48,purchased a mobile sim and box and it has never worked even after long wait times on hold waiting to cancel,Bad
49,ive been with ee close to two years now yet whenever i try to log on to my account on their website it always appears to be down theyve charged me three times my normal bill this month and i cant even log on to find out why when i emailed their customer services department i heard nothing back truly rubbish organisation with a terrible website,Bad
50,free destiny entry does not work when i hit the tab to enter all i get is a grey screen with the options visible behind it,Bad
51,talktalk are the worst service provider i have ever come across they will make promises that are impossible for them to up hold their call centres are in manila are their poor operatives have a set script that they have to stick to they have been charging me for fibre broadband for over two years and the nearest fibre to my home is three miles away be warned part of their script is to keep you on hold for as long as possible and you are being charged a fortune it is impossible to speak to anyone in the uk,Bad
52,i phoned on to cancel my service as it wasnt working got bounced around departments the calls to the cancellation department mysteriously got disconnected i did then finally speak to someone from the cancellation department who said they processed the cancellation foolishly i didnt log back in to the system to check this had happened a month later they are now claiming no cancellation was logged and charging for an extra month,Bad
53,i think its time i switched to another broadband out and no picture are amongst a plethora of complaints i compared to other providers its too have stayed with virgin a long time out of loyalty but my patience is now wafer take note and rectify you fix or i switch dennis caird,Bad
54,i would honestly rate lower if i could i got gb of mobile data from i used around mb one day and around mb the next one but when i checked my remaining allowance i only had gb left i sent an email about the issue to got no answer and resent the email two additional times during the week still no answer i have been robbed theres no other way around it im gonna use my remaining credit and then im gonna gladly throw away the sim card terrible business avoid if you as a reply to the bs answer i got here yes i know how it works thank you very much it still doesnt justify how i was out of more than gb in two days i kept a close eye on my data history and i do always turn off my mobile data when not using bother replying further as i have threw the sim card away and am not planning on even touching a sim card ever again,Bad
55,i have upgraded to fiber tariff weeks ago but we are still getting mb instead of their guaranteed speed of mb unable to with support team because we are constantly getting the following message even during the specified support opening sorry we cannot respond to your chat at the moment this could be because our support team are all serving other customers right now or you may have contacted us out of hours if you would like to try again our core opening hours sunday you may be able to find what youre looking for online at talk talk help,Bad
56,hi i am writing a nd bad review as my issues continue i have moved to my new flat and brought my virgin services with or so i thought i had about to phone calls and chats with virgin media everyone reassuring me that the account has been set up correctly and the contract and bill are reflecting the correct amounts i received the bill today and virgin has still the wrong contract in the system and monthly cost for my services and on top of that they never fixed their mistake and the system things i am new customer asking me to pay again for the previous month which i have already paid in the previous flat plus next month plus additional charges also since they havent netted the balance that already paid from the previous flat they owe me one months cost which they havent refunded all that because their customer service made the mistake and instead of registering an existing customer moving to a new flat he closed the account and opened a new one summary i had to change all my equipment and lost my recordings i had to talk to virgin times and no resolution i have the wrong contract and wrong monthly cost for my services and now they are asking to pay double and more including paying again for services for the month i have already paid for and they are saying it is overdue i will be reporting you to ofcom they psychological strain and suffering the past month has been huge because of the fails in their process it systems and customer services maybe i need to sue,Bad
57,i extended my year contract by another year in feb and at the time asked for a spend cap on my contract in december i attempted to call america from the uk over the wifi using an app o instead charged me for making international calls then cut off my service until i paid im completely shocked by this and after calling them separate times i was told that i would receive a reduction as a onetime gesture but then that was not applied to my account and my services were later shut off whilst i was still trying to get the problem rectified im completely shocked by this and after being forced to pay due to my credit score being at risk they now want to renew my contract for another year the audacity of this company and how they treat their customers just shocks me,Bad
58,dont get this wifi signal rubbish as router is not fit for purpose keeps dropping out and switching between bands making it unusable at times virgin wont give the new top of the range router unless you get the top gb package im getting rid of it as soon as im out of contract would have given stars if i could have,Bad
59,i am only giving star because there is no option of for minus billion stars also known as utter rubbish,Bad
60,as worst it can get uneducated rude employees of them you can never talk to anyone in the us to settle your issue was out for a phone for days due to their stupidity and technologically challenged system i hope they go bankrupt someday i am still surprised how they have this lame career in the us store,Bad
61,star is too good i wish i could give them zero but tried to top up a number i only use for international calls i tried their website and after three failed payments without any errors i was charged for all three and credited for only one which worked i know i was stupid trying it again and site gave no clear error messages i called them up to complain and i was told to provide evidence of the fact the payments were made like bank statements i was told to shut my loud speaker by which he meant my voice and not the phone when i tried to explain to them that maybe they should fix their website the operator called told me we have millions transactions we have never had this problem before so i lost my rag and he hung up on me i admit it maybe i used one profanity but what do you expect when there is no attempt to help you i have now written to their ceo in the hope he might fix this and fix their website too but i wont be holding my breath total and utter joke of a company and experience,Bad
62,i bought a sim from wh smith for use in uk when on holiday from australia sim conditions werent clear from the pack so took whs word that this was shat i needed it was but expensive at pounds for a month instructions were in polish so searched for a human to assist registration and activation were cumbersome and website little help after a month i wanted to top up a few more days but the online process was again process needs testing on a sample of typical trustpilot have contacted me about this matter asking for documentation and saying my review would be taken down if none was submitted i have no documentation and my original complaint about made this pretty clear i also advised them in plain english that i was happy for the review to be taken down but trustpilot so far have not done this,Bad
63,cheap but shockingly bad customer service if you experience a problem,Bad
64,wifi poor only works in one room which has the router in purchases through media store resulted in just error messages but they charged my bank account anyway calls to customer services were no help told to email and they never reply,Bad
65,was with virgin for the last years problem started this year only not picking up phone calls trying to call everyday my cooling off period expires on th respond if you believe in customer care,Bad
66,terrible company service levels are incredibly poor extremely over priced broadband is slow and intermittent have been trying to leave them for a couple of years but has prevented this they also took advantage of the fact that i couldnt switch to sky at the start of the pandemic due to no home visits and increased my month payments dramatically,Bad
67,signed up to get broadband installed originally in nov to be installed early jan and they cancelled with no warning and no explanation shortly before it was due to be installed i phoned and they didnt have a clear idea why it was cancelled and so they asked me to sign up again after booking for th jan it got cancelled again yesterday and again they had no solid reason why when i called them that day called today and the guy on the phone said they checked with bt and are unable to provide us broadband for our address it would have been useful to know when i had phoned the first time rather than wasting hours on hold on calls and chats trying to figure out the problem,Bad
68,been with them for years but left as there signal at new property was terrible so had to go with ee never had a bad thing to say till now but my contract ended th march and paid final amount today on st june get a bill off bpo collections for a payment for them too lazy to send me a bill there selves for just so ridiculous acc number,Bad
69,i would give stars if possible paying almost a month just for very slow broadband and bt sport found both much cheaper elsewhere as a package upon leaving bt i was overcharged and have had to fight to get my money back which i still havent received all reference to us being in credit has been removed from our online account and when i asked where our refund was i was told its hadnt been initiated yet having previously been told it would take days,Bad
70,new phone contract but mobile data never worked tesco knew it was a problem with new sim cards,Bad
71,put my son in thinking it would be simple to port over his number this is an operation i have done many times with other do it the online form instructions were ambiguous to say the least the information needed was impossible both sim card numbers unsatisfactory experience shall endeavour to leave soon as,Bad
72,shop staff lied about out of contact discount completely useless staff without any knowledge,Bad
73,consistently some of the worst customer service i have ever experienced,Bad
74,if i could rate a i would what a terrible company to deal with my year old parents have been trying for days to pay a demand for after cancelling their contract despite having already paying weeks later they send a demand for another stating if it is not paid the will be instructed my father immediately telephoned times and he either had the phone put down when he failed to understand them or was told they were unable to process his payment after two days they are now that worried that they call me their daughter in spain and i make contact on their behalf twice this morning i am also told they cannot process my payment can i call back in hours finally i have just successfully made the payment which between my parents and myself has probably cost us more than that in phone calls never never deal with this company,Bad
75,shut up and get your wallet out dont worry about the service or talking to a team member just keep your money handy,Bad
76,very poor customer service been on several calls had emails that have promised one price which was never applied another email promising another then an email saying my next direct debit would be even higher than both emails then a letter saying my monthly payment would be moving to bath of which are extremely expensive and well above the promised in original email and contract they seem to tell you something on the phone and then not apply it its misleading and disingenuous,Bad
77,bull crap which i have been waiting over half a year but still got no data and the connection for g was powerfull enought to support a p video but i paid a hefty price for this useless scam,Bad
78,absolutely terrible company put prices up wont let me out of contract without hefty fees dont phone you back to deal with your complaint when told someone would contact you in days when i cancel my mobile which has finished contract and you have to give days notice the mobile struggles to make or receive calls due to the network bt keeps going down total joke of a company they have no respect for there customers i will certainly never be back,Bad
79,very poor service was ignored by the one person serving and when i asked for help they sed come back in an hour terrible,Bad
80,everything looks fine when i have a live chat with them but when i said cancel the contract they just throw me to a said to connect me to a dedicated team but nothing happened after waiting for ages,Bad
81,worst customer service ive ever meet but what i can said this is the price ive to pay for a cheap service,Bad
82,raised a complaint and got an email asking to contact customer services to discuss a resolution within days lf customer services a week later to discuss and they explained they would have to raise this issue with another department and that they would call me has rung me week later i sent an email reply to the complaints team asking them to expedite the matter under investigation days after the initial complaint receipt email they have sent a follow up claiming we have not received a response from you and were unable to contact you by telephone this matter is now closed as far they are i could give stars then i absolutely raise a complaint with their adr to investigate virgin medias outrageous incompetence,Bad
83,despite my advance notice to talk talk to terminate my account and thereby avoid unnecessary charges they have taken a payment for april may from my account i gave the required days notice i made several calls and online chats in order to ensure this did not happen but talk talk customer service appear to misinterpret or not listen to my instructions they have taken payment that i have not authorized and refused to take any responsibility,Bad
84,terrible connection internet is always going off or the connection is so low i can barely use my i never signed up with done everything in their response and it still doesnt work theyre crap go with someone else,Bad
85,hi you for taking the time to leave a review im sorry to hear that youre disappointed with your new deal that is not ideal at you would like to discuss this matter further with a member of our team please give us a call on we are here to help and would really like to get this issue resolved for,Bad
86,can not be worst customer service months with faulty broadband and they keep saying i confirmed its working can not be worst than bt,Bad
87,ee customer service are possibly the worst i have ever encountered unprofessional lack of knowledge rude,Bad
88,the internet connection has been pretty bad the last couple of weeks as i online its pretty annoying to say the least and nothing from virgin to explain,Bad
89,awful experience stay away from vodafone i am so so glad my contract has now ended and i can leave them my text messages dont even work their website dont even work half the time they cant even do the basics right as so many others here have already said their customer service is terrible its so frustrating and like others here i am also charged the late fee each month even though i should pay by direct debit but nobody to speak to or complain to just makes me so angry goodbye vodafone,Bad
90,i have been with them for over years they dont do any discounts for there long time customers they always change the bill and when you call them they dont help well there call center is in india so what do you expect the contract that i had with them was a fixed price increased by when you call them they have no idea that it increased and they give you some stupid reasons as to why it increased also there connection isnt reliable at all overall very bad,Bad
91,we had a one year contract with home telecom between sep and connection date was arranged a month in advance but it took a further two weeks past the connection date for them to actually get it working this caused us a whole world of problems as we were working from home during the pandemic as compensation they said we wouldnt be charged for these two weeks but that later turned out not to be the eventually getting it working we then spent the year trying to resolve connection speed issues our typical download speed was mbps which is inadequate and far below their guarantee of at least mbps they never resolved this and never compensated us for the impact this had on our year at the gave them ample notice that we were leaving at the end of august yet after paying this final month they let us know that they would be charging us an early termination fee and disconnection fee it turns out what theyd actually done at the start was extend our contract by two weeks without our consent despite knowing we would no longer be at the property during this contacted them by phone after minutes on hold and were led to believe that this was their mistake and there would be nothing to pay they said they would call us back if there were any further few weeks later having not heard anything further and assuming everything was fine we received a bill for contrary to what we had discussed with them previously they are now insisting we would not recommend home telecom for your home broadband provider,Bad
92,used to be easy to use their site but with the new updated version you get with deals then anything you click on just takes you to a guide of info about what youve clicked on i just up after mins trying to find what i was looking for used to be soo simple,Bad
93,honestly wish it was possible to give a stars is giving them too much credit appalling service from start to now id say finish but they dont seem to want to come complete the a new line to be installed into my annexe for independent internet for the there and have been disgracefully appointment a man walked into the building said it was weird took some pictures and then just left without saying a single next appointment was set for a week later in which nobody turned up with no communication whatsoever any chasing i had to do myself if i never rang them to chase id have keep using the need blue ladders excuse despite knowing exactly what the job entails so why make appointments if you dont have the are clear lies to get out of doing the had my only good bit of experience where a technician did turn up did all the internal work needed in getting the line fitted it needed to go up a telegraph pole and he went above and beyond in getting this sorted he was there for a good hours feeding cables through the overhead poles and deserves full could not complete the install as there was some dangerous wires on one of the poles that he needed the electric board to come and sort was reviewed for last wednesday and then got hold of me and told me that the work had been done and someone would be here to finish the job surprise back to the old of having nobody turn up i call and ask where they are and all i get as a reply is they have it down as still going ahead so they might turn up but they might level of communication is appalling when im having to book time of work to be here for them each timei dont mind that the job has been difficult and taken longer than expected but the communication and the outright lies and false excuses on the way about why they havent turned up or couldnt do the work is just beyond far the worst customer service ive ever encountered and had there been an alternative company to use id have jumped at the chance above isnt even the full story but just watered down the lies are are as insulting as they are,Bad
94,virgin media are terrible when the internet works it is ok but it goes down a lot virgin customer service is useless if you do get through they always try to blame your equipment in the premises it never is it is always their network we have a virgin media box the channels suffer digital noise virtually all the time but i have give up trying to get a virgin engineer out as soon as there is a viable alternative i will switch fortunately for virgin bt is just as bad any company laying in a half decent network with a meaningful customer service function will clean this you will see a response from virgin media with a number to call it is their standard number asks me to start the equipment again and as per typical makes it almost impossible to get an engineer to come and fix the problem of the corrupted tv channels nowhere does it address the fundamental problem the unreliability of their network and how dreadful their customer service is in fact it underscore the problem of virgins customer service i will be going into battle with them to close my account and shift to another provider do not use virgin media they are in my opinion completely unworthy of any customers and the faster they go out of business the better,Bad
95,slow to send product and poor after sales support also they mark up the advertised price if youre a business customer to reply to reply below as follows the item was in stock at the time of ordering but was not dispatched for four days when registering as a new customer at the bt shop it gives you the option to register as a residential customer or a business customer purchasing these for a business i registered as a business customer and was very surprised that the price had increased from the advertised price i cancelled the order and registered again as a residential customer and was able to complete the purchase at the price advertised to ann please check your information before making assumptions as to what happened youre incorrect on both the statements you made i wont be buying from bt shop again im afraid,Bad
96,what a horrendous experience dealing with vodafone signed up for new broadband pro ii fibre on th december link sent showed price of however signed me up for engineer install date was set for december received equipment and then called vodafone to verify that my devices would work on the pro ii hub was informed my pin i setup didnt work and then woman tried sending my pin reset to the g broadband sim instead of my to my phone went into branch and had them reset my pin and they said hub would be backward phoned sat th before my install just to reassure that the device was backward compatible and found that the installation had an actionable delay on it vodafone cancelled the pro ii order and apparently requested the older fibre hub install and said the engineer installation would still happen on the i received text stating everything was cancelled including engineer i call and try get the order reissued now the price is hiked up to so i demand to speak to manager abdul manager calls me with empty promises of getting it resolved i get put through to someone to start the order from scratch and even get told that an discount will be applied and gets manager approval but to then get told oh there is an issue saying that does not service my area i tell the vodafone person that came and pulled cable through to my house on the th december am day after order placed person hung i call back i get different person and same problems except now the discount cannot be applied then the order wont go through with balance exceeded issue because the initial cheaper price is what i was approved for i then ask to put it through on the advertised cheaper non pro ii package which is advertised at on the internet and although its cheaper than my initial order still gets blocked i must now wait until march to be for the package dismal service and definitely not what is expected from a huge company like vodafone its a sad day when a company such as vodafone is outclassed by a third world country government broadband company like telkom which is known for its bad service,Bad
97,virgin media have worked so hard to be cts there now in the elite league of fred west isis the mccanns jack the ripper bundy,Bad
98,really unhappy following the installation of my router no notice given despite being advised that i would get a call minutes before guy disappeared after installation despite telling me he would be in tidy up and take photos router was installed under my bed and is so hot to touch that i turned it off,Bad
99,tried to upgrade my mothers broadband bt cut off her phone reinstated phone but with the wrong number then cut off that number and reinstated a rd number without telling anyone what the number was now told days later that it will take another days to reinstate her number have spent hours on phone to them in days every advisor promises different things all unto date are lies appalling service will be changing all my phone lines away from bt and advising anyone i know to do the same,Bad
100,i went to the walthamstow branch with my friend to help with her phone as she lost it daniel raja wasnt helpful moody and was too occupied on his phone he wasnt doing his best to help her with getting her apple id back and just didnt care to be honest unacceptable,Bad
101,far too expensive locked into a deal and there are no effective competitors ill be off as soon as there are,Bad
102,just been billed five years after leaving bt for the use of a premium account we never signed up to no bills received during this period and no correspondence at all further more unless youre a bt customer you cant get online to your email account after advice from numerous people some said ignore others said tear bill up eventually we were told that our account has been closed but we have to pay in the mean time still receiving emails on this account because thats what the computer said this has been one of the most frustrating experiences ever no one knows what they are doing,Bad
